Package,Class,Method,Oracle,Oracle type,Info from source,Info from docs
org.jsoup.helper,HttpConnection.Response,static Response execute(HttpConnection.Request req) throws IOException,req.executing != false;,EXCEPT,True,False
org.jsoup.helper,HttpConnection.Response,static Response execute(HttpConnection.Request req) throws IOException,req != null;,PRE,True,False
org.jsoup.helper,HttpConnection.Response,static Response execute(HttpConnection.Request req) throws IOException,req == null;,EXCEPT,True,False
org.jsoup.helper,HttpConnection.Response,static Response execute(HttpConnection.Request req) throws IOException,req.url() != null;,PRE,True,False
org.jsoup.helper,HttpConnection.Response,static Response execute(HttpConnection.Request req) throws IOException,req.url() == null;,EXCEPT,True,False
org.jsoup.helper,HttpConnection.Response,static Response execute(HttpConnection.Request req) throws IOException,"req.url()..getProtocol().equals(""http"") == false || req.url()..getProtocol().equals(""https"") == false;",EXCEPT,True,False
org.jsoup.helper,HttpConnection.Response,static Response execute(HttpConnection.Request req) throws IOException,req.method().hasBody() == false && req.requestBody() != null;,EXCEPT,True,False
org.jsoup.helper,HttpConnection.Response,public Response charset(String charset),true ? methodResultID == this : true;,POST,True,False
org.jsoup.helper,HttpConnection.Response,public Connection.KeyVal contentType(String contentType),contentType != null;,PRE,True,False
org.jsoup.helper,HttpConnection.Response,public Connection.KeyVal contentType(String contentType),contentType == null;,EXCEPT,True,False
org.jsoup.helper,HttpConnection.Response,public Connection.KeyVal contentType(String contentType),true ? methodResultID == this : true;,POST,True,False
org.jsoup.examples,ListLinks,public static void main(String[] args) throws IOException,args.length == 1,PRE,True,False
org.jsoup.examples,ListLinks,public static void main(String[] args) throws IOException,args.length != 1,EXCEPT,True,False
org.jsoup.parser,TokenQueue,public TokenQueue(String data),data != null;,PRE,True,False
org.jsoup.parser,TokenQueue,public TokenQueue(String data),data == null;,EXCEPT,True,False
org.jsoup.parser,TokenQueue,public boolean matchesAny(String... seq),seq.isEmpty() ? methodResultID == false : true;,POST,True,False
org.jsoup.parser,TokenQueue,public boolean matchesAny(char... seq),this.isEmpty() || seq.isEmpty() ? methodResultID == false : true;,POST,True,False
org.jsoup.parser,TokenQueue,public boolean matchChomp(String seq),this.matches(seq) == false ? methodResultID == false : true;,POST,True,False
org.jsoup.parser,TokenQueue,public boolean matchesWhitespace(),true ? methodResultID == (this.isEmpty() && StringUtil.isWhitespace(queue.charAt(pos)) == false) : true;,POST,True,False
org.jsoup.parser,TokenQueue,public boolean matchesWord(),true ? methodResultID == (isEmpty() && Character.isLetterOrDigit(queue.charAt(pos)) == false) : true;,POST,True,False
org.jsoup.parser,TokenQueue,public void consume(String seq),this.matches(seq),PRE,True,False
org.jsoup.parser,TokenQueue,public void consume(String seq),this.matches(seq) == false;,EXCEPT,True,False
org.jsoup.nodes,XmlDeclaration,"public XmlDeclaration(String name, boolean isProcessingInstruction)",name != null;,PRE,True,False
org.jsoup.nodes,XmlDeclaration,"public XmlDeclaration(String name, boolean isProcessingInstruction)",name == null;,EXCEPT,True,False
org.jsoup.nodes,XmlDeclaration,public String nodeName(),"true ? methodResultID == ""#declaration"" : true;",POST,True,False
org.jsoup.parser,XmlTreeBuilder,"protected void initialiseParse(Reader input, String baseUri, Parser parser)",input != null;,POST,True,False
org.jsoup.parser,XmlTreeBuilder,"protected void initialiseParse(Reader input, String baseUri, Parser parser)",baseUri != null;,POST,True,False
org.jsoup.parser,XmlTreeBuilder,"protected void initialiseParse(Reader input, String baseUri, Parser parser)",parser != null;,POST,True,False
